link,published,title,detailed
https://www.faz.net/aktuell/beruf-chance/campus/immer-mehr-studenten-planen-berufseinstieg-mit-bachelor-abschluss-16122210.html,"Wed, 03 Apr 2019 11:23:27 +0200",Umfrage: Mehr als Hälfte der Studenten plant Berufseinstieg schon nach dem Bachelor,Ein Student lernt in einer Bibliothek. Nach dem Bachelor-Abschluss direkt einen Master anhängen? Das wollen offenbar immer weniger Studenten. Beim Berufseinstieg wollen sie zudem deutlich mehr Geld.
https://www.faz.net/aktuell/beruf-chance/beruf/ingenieure/woran-textilingenieure-tuefteln-ein-besuch-an-der-rwth-aachen-16113660.html,"Wed, 03 Apr 2019 10:20:02 +0200",Woran Textilingenieure tüfteln - ein Besuch an der RWTH Aachen,"Strippenzieher: In den Hallen des Aachener Instituts geht es um verschiedenste Fasern. T-Shirts aus Mais, Kontrabässe aus Carbon, Beton aus Fasern – und am BH lässt sich auch was machen. Textilingenieure tüfteln auf breitem Terrain. Ein Besuch an der RWTH Aachen."
https://www.faz.net/aktuell/beruf-chance/campus/in-deutschland-gibt-es-so-viele-studenten-ohne-abitur-wie-noch-nie-16121898.html,"Wed, 03 Apr 2019 08:30:16 +0200",In Deutschland gibt es so viele Studenten ohne Abitur wie noch nie,Ein Hörsaal voller Medizinstudenten – manche von ihnen könnten kein Abitur haben.Die Zahl der Studierenden ohne Abitur hat sich in Deutschland in den vergangenen zehn Jahren vervierfacht. Vor allem Fächer aus drei Fachbereichen stehen dabei hoch im Kurs.
https://www.faz.net/aktuell/beruf-chance/beruf/ingenieure/ingenieur-mit-luecken-in-mathe-geht-das-16113642.html,"Tue, 02 Apr 2019 13:28:37 +0200",Kann man auch mit Mathematik-Schwierigkeiten Ingenieur werden?,"Schließt eine Mathe-Schwäche ein Ingenieurstudium kategorisch aus?Mathematik ist die Sprache der Ingenieure, aber viele Studienanfänger sprechen sie kaum. Was sich nachholen lässt und wann es problematisch wird."
https://www.faz.net/aktuell/beruf-chance/campus/diese-dax-unternehmen-bieten-die-meisten-studentenjobs-16120408.html,"Tue, 02 Apr 2019 14:29:34 +0200",Diese Dax-Unternehmen bieten die meisten Studentenjobs,"Die Dax-Unternehmen sind als Arbeitgeber auch bei Studenten gefragt. Gerade Automobilhersteller bieten besonders viele Praktika. Nach dem Abschluss bei einem großen Arbeitgeber anfangen – davon träumen viele Studenten. Der Einstieg klappt dabei oft über Praktika. Eine Analyse zeigt nun, welche Dax-Konzerne die meisten Studentenjobs ausgeschrieben haben."
