link,published,title,detailed
https://www.faz.net/aktuell/wissen/weltraum/fluessiges-wasser-auf-dem-mars-wirft-raetsel-auf-16119943.html,"Wed, 03 Apr 2019 10:26:54 +0200","Gewaltige Flüsse sollen den Mars einst geprägt haben, und zwar länger als gedacht.","Blick auf die „Kimberly“-Formation, aufgenommen 2015 vom Marsrover „Curiosity“ am Fuß des „Mount Sharp“. Die Gesteinsschichten im Vordergrund könnten in Folge der Ablagerung von Sand und Geröll entstanden sein.Gewaltige Flüsse sollen auf dem Mars noch vor einer Milliarde Jahre geströmt sein. Doch woher das ganze Wasser kam, ist ein Rätsel. Regen fiel schon längst keiner mehr. Eine Glosse"
https://www.faz.net/aktuell/wissen/klug-verdrahtet/klug-verdrahtet-mein-handy-spuert-wenn-die-erde-bebt-16108118.html,"Tue, 02 Apr 2019 18:47:02 +0200","Klug verdrahtet: Mein Handy spürt, wenn die Erde bebt.",Smartphones mit der App „My Shake“ im Labortest.Dank einer App bekommen die klassischen Erdbeben-Überwachungssysteme mobile Unterstützung. Intelligente Algorithmen helfen bei der Analyse und Interpretation der Signale.
https://www.faz.net/aktuell/wissen/erde-klima/eine-folge-des-klimawandels-der-arktis-fehlt-der-eisnachschub-16120532.html,"Tue, 02 Apr 2019 12:35:26 +0200",Eine Folge des Klimawandels: Der Arktis fehlt der Eisnachschub,"Um die Folgen eines sich ändernden Eis- und Stofftransports für das Ökosystem Arktis besser abschätzen zu können, entnehmen zwei AWI-Forscher Eiskern-Proben.Aufgrund des Klimawandels gelangt weniger frisches, vor Russland entstandenes Meereis in die zentrale Nordpolarregion. Das hat Folgen für das Ökosystem der Arktis."
https://www.faz.net/aktuell/wissen/leben-gene/woher-das-schwarmverhalten-im-tierreich-stammt-16117410.html,"Tue, 02 Apr 2019 15:30:56 +0200",Woher das Schwarmverhalten im Tierreich stammt,Wer oder was lenkt da? Stare in Israel vor der Landung.Welche Kräfte treiben ein Kollektiv von Tieren oder Menschen an? Was lässt Lebewesen ihre Eigenständigkeit aufgeben und in der Gruppe aufgehen? Dieses Rätsel könnte bald gelüftet werden.
https://www.faz.net/aktuell/wissen/physik-mehr/verletzte-symmetrie-warum-gibt-es-so-viel-materie-16108146.html,"Mon, 01 Apr 2019 20:32:44 +0200",Warum besteht die Welt nur aus Materie? Ein Teilchenzerfall liefert einen weiteren Hinweis.,"Blick ins Innere des LHCb-Detektors. Zu sehen ist der gewaltige Magnet, der die geladenen Reaktionsprodukte in Richtung Detektor lenkt. Materie und Antimaterie werden von bestimmten physikalischen Prozessen nicht ebenbürtig behandelt. Das zeigt sich auch beim Zerfall von schweren D-Mesonen. Der Befund ist ein weiteres Puzzlestück eines großen Rätsels."
https://www.faz.net/aktuell/wissen/medizin-ernaehrung/tierwohl-was-will-die-sau-16116075.html,"Mon, 01 Apr 2019 09:00:00 +0200",Artgerechte Haltung: Wie hat es die Sau am liebsten?,"Schweineglück hängt von vielem ab. Ausreichend Platz ist längst nicht alles.Seit Kurzem soll ein neues Kennzeichen verraten, ob das Fleisch im Supermarkt von Tieren stammt, die artgerecht gehalten wurden. Doch wie findet der Verbraucher heraus, ob das auch tatsächlich stimmt?"
https://www.faz.net/aktuell/wissen/leben-gene/pollenforensik-was-der-bluetenstaub-ueber-den-moerder-verraet-16104883.html,"Sun, 31 Mar 2019 18:07:18 +0200",Pollenforensik: Mord und Blütenstaub,"58948217Nicht nur DNA-Spuren, auch Pollen, die an Opfern und Beweisstücken haften, helfen bei der Aufklärung von Verbrechen. Die Palynologin Monika Weber kann schon beim Blick ins Mikroskop häufig den Täter entlarven."
https://www.faz.net/aktuell/wissen/medizin-ernaehrung/transfusionsmedizin-fliesst-bald-kunstblut-in-unseren-adern-16104898.html,"Sun, 31 Mar 2019 08:00:00 +0200",Transfusionsmedizin: Kunstblut in unseren Adern,"Erythrozyten, die roten Blutkörperchen, sind für den Sauerstofftransport zuständig. Auf ihrer Oberfläche sitzen Strukturen, die darüber entscheiden, welche Blutspende für einen Empfänger geeignet ist. Und welche nicht. A, B, AB, Null sind vier wichtige Blutgruppen, aber längst nicht die einzigen. Das macht es mitunter schwer, im Notfall einen passenden Spender zu finden. Synthetischer Ersatz für die rote Flüssigkeit wird daher dringend gesucht."
https://www.faz.net/aktuell/wissen/leben-gene/pflanzenethik-gebt-den-pflanzen-endlich-mehr-wuerde-16108140.html,"Sat, 30 Mar 2019 09:00:27 +0100",Auch Pflanzen haben mehr Würde verdient. Umweltschutz wäre dann keine Floskel.,"Ein Holzfäller arbeitet mit einer Kettensäge im Regenwald des Amazonas in Brasilien an einem Urwaldriesen. Obwohl sie Lebewesen sind wie Tiere und Menschen, haben Pflanzen immer noch keinerlei Rechte. Ethiker fordern schon lange ein moralisches Umdenken zum besseren Schutz der Natur - und finden immer öfter Gehör."
