link,published,title,detailed
https://www.faz.net/aktuell/feuilleton/medien/zurueckgetretener-dfb-chef-grindel-haette-eine-berufliche-option-16122593.html,"Wed, 03 Apr 2019 15:16:07 +0200",Ex-DFB-Chef Reinhard Grindel : Zurück zum ZDF?,"„Ich entschuldige mich dafür“ – DFB-Präsident Reinhard GrindelNach seinem Rücktritt als DFB-Präsident könnte Reinhard Grindel zum ZDF zurückkehren. Denn er war dort einmal Redakteur. Ob er sich damit einen Gefallen täte, ist eine andere Frage."
https://www.faz.net/aktuell/feuilleton/pop/der-rockmusiker-richard-thompson-wird-70-16121047.html,"Wed, 03 Apr 2019 13:24:16 +0200",Der Rockmusiker Richard Thompson wird 70,"Richard Thompson im Frankfurter Sinkkasten25 Alben und ein spezifisches Funkeln: Wenn das ein Altersstil sein soll, dann hat Richard Thompson etwas von Tizian. Einem der versiertesten Folk- und Rock-Gitarristen zum 70. Geburtstag."
https://www.faz.net/aktuell/feuilleton/kunst/christo-verhuellt-den-arc-de-triomphe-in-paris-16122557.html,"Wed, 03 Apr 2019 14:49:12 +0200",Christo verhüllt den Arc de Triomphe in Paris,So soll der in Stoff gehüllte Arc de Triomphe aussehen.Der Künstler Christo will das Pariser Wahrzeichen im April 2020 für einige Tage verschwinden lassen. Für die spektakuläre Aktion wird jede Menge Stoff benötigt.
https://www.faz.net/aktuell/feuilleton/brief-aus-istanbul/wieso-erdogan-die-wahl-in-der-tuerkei-verloren-hat-16121074.html,"Wed, 03 Apr 2019 12:05:59 +0200",Brief aus Istanbul: Der Fall des Hochmütigen,Nach einer Ansprache zu den Kommunalwahlen verlässt der türkische Staatspräsident Recep Tayyip Erdogan am Sonntag in Istanbul die Bühne.Notgedrungen hatte sich der Staatspräsident bei der Kommunalwahl auf ein Glücksspiel eingelassen. Schließlich half alles Drohen und Flehen nicht: Wieso Erdogan die Wahl in der Türkei verloren hat.
https://www.faz.net/aktuell/feuilleton/medien/das-videospiel-anthem-heute-schon-aus-allen-wolken-gefallen-16119557.html,"Wed, 03 Apr 2019 12:47:40 +0200",Das Videospiel „Anthem“: Heute schon aus allen Wolken gefallen?,"Kein Platz an der Sonne für Full-Metal-Ikarus: Im Javelin-Modell „Ranger“ stürzt sich der Spieler ins Abenteuer. Aber Vorsicht, der Antrieb überhitzt schnell.Oh, diese bleischweren Flügel: Das Videospiel „Anthem“ huldigt dem Menschheitstraum vom Fliegen. Als Spieler hebt man auch kräftig ab, das Erzählerische aber ist eine Bauchlandung."
https://www.faz.net/aktuell/feuilleton/ausstellung-ueber-muslimische-frauenmode-in-frankfurt-16121035.html,"Wed, 03 Apr 2019 06:45:06 +0200",Eine Ausstellung über muslimische Frauenmode in Frankfurt sorgt für heftige Diskussionen,"Sittsam, aber bitte auch verführerisch: Konservative Modewoche in IstanbulEine Ausstellung in Frankfurt sorgt im Vorfeld für heftige Diskussionen. Zu Recht? Eine Wissenschaftlerin erklärt, was man wissen muss, wenn man sich für muslimische Frauenmode begeistert."
https://www.faz.net/aktuell/feuilleton/medien/zdf-moderator-boehmermann-verklagt-die-bundeskanzlerin-16121311.html,"Tue, 02 Apr 2019 22:25:43 +0200",Jan Böhmermann verklagt die Bundeskanzlerin: Das ist keine Satire,"Meldet sich nun ernsthaft zu Wort: der Fernsehmoderator Jan BöhmermannZDF-Moderator Jan Böhmermann verklagt die Bundeskanzlerin: Sie habe ihre Äußerung, sein Erdogan-Gedicht „Schmähkritik“ sei „bewusst verletzend“ gewesen, zu unterlassen. Das wird ein aufschlussreicher Prozess."
https://www.faz.net/aktuell/feuilleton/kino/video-filmkritiken/stephen-kings-klassiker-friedhof-der-kuscheltiere-kommt-zurueck-16121023.html,"Wed, 03 Apr 2019 08:50:33 +0200",Stephen Kings Roman „Friedhof der Kuscheltiere“ kehrt ins Kino zurück,"Teaser Bild für Filmkritik „Friedhof der Kuscheltiere“Klassiker sind Werke, die man ab und zu neu deutet – zum Beispiel verfilmt: Stephen Kings Roman „Friedhof der Kuscheltiere“ kehrt ins Kino zurück."
https://www.faz.net/aktuell/feuilleton/medien/der-effekt-der-gelbwesten-auf-die-runkfunkgebuehr-16119406.html,"Wed, 03 Apr 2019 06:51:09 +0200",Frankreich streitet um die Rundfunkgebühr,"Gelbwesten verfolgen eine Fernsehansprache des französischen Präsidenten Emmanuel Macron. Überholt, reformresistent, gar Schande der Republik? Frankreich streitet um die Rundfunkgebühr für öffentlich-rechtliche Sender – und nähert sich damit den Forderungen der Demonstranten an."
