link,published,title,detailed
https://www.faz.net/aktuell/gesellschaft/menschen/zulassung-von-e-tretrollern-in-deutschland-rueckt-naeher-16122766.html,"Wed, 03 Apr 2019 16:56:25 +0200",Zulassung von E-Tretrollern in Deutschland rückt näher,"Wien: Elektroroller-Fahrer auf dem HeldenplatzGeht es nach der Bundesregierung, soll man bald mit Elektro-Tretrollern auf deutschen Straßen fahren dürfen. Verkehrsminister Scheuer sieht ein enormes Zukunftspotenzial. Kritiker befürchten dagegen einen Dammbruch."
https://www.faz.net/aktuell/gesellschaft/kriminalitaet/graeber-ermordeter-polizisten-in-berlin-geschaendet-16122730.html,"Wed, 03 Apr 2019 16:27:30 +0200",Gräber ermordeter Polizisten in Berlin geschändet,"Ein mit Folie abgedeckter Grabstein steht auf dem Parkfriedhof Neukölln.Zwei Grabstätten von im Dienst getöteten Polizisten sind in Berlin mit Hakenkreuzen beschmiert worden. Einer der Polizisten war 2003 erschossen worden, als er einen Verdächtigen aus einer Clan-Familie festnehmen wollte."
https://www.faz.net/aktuell/gesellschaft/menschen/donald-trump-schummelt-beim-golf-16122645.html,"Wed, 03 Apr 2019 15:35:13 +0200",Donald Trump schummelt beim Golf,"Trump wird immer wieder vorgeworfen, zu viel Zeit auf dem Grün zu verbringen. „Er mogelt, weil das seine Art ist, Golf zu spielen“, schreibt ein Sportjournalist über Donald Trump. Für sein Buch trug er die Erfahrungen prominenter Mitspieler des Präsidenten zusammen."
https://www.faz.net/aktuell/gesellschaft/kriminalitaet/lebenslange-haft-nach-blutrache-mord-in-deutschland-16122591.html,"Wed, 03 Apr 2019 15:17:08 +0200",Lebenslange Haft nach „Blutrache“-Mord in Deutschland,Rund zwei Jahre nach dem Mord an einem jungen Albaner in Deutschland verkündete das Landgericht Ulm das Urteil.Aus Furcht vor gnadenlosen Mördern flieht ein junger Albaner nach Deutschland. Doch selbst dort ist er nicht sicher. An einem Anglersee unweit von Ulm wird er mit einem Hammer erschlagen.
https://www.faz.net/aktuell/gesellschaft/kriminalitaet/koelner-findet-zwillingsauto-mit-identischem-kennzeichen-16122366.html,"Wed, 03 Apr 2019 12:49:47 +0200",Kölner findet Zwillingsauto mit identischem Kennzeichen,"Der VW Polo von Taxiunternehmer Adem Altay steht in Köln vor der Kopie seines Autos.Ein Kölner hat eine sonderbare Überraschung erlebt. Er stieß auf eine exakte Kopie seines Wagens: Modell, Farbe und vor allem Kennzeichen – alles identisch."
https://www.faz.net/aktuell/gesellschaft/kriminalitaet/zeugen-melden-massenschlaegerei-im-berliner-ortsteil-steglitz-16122240.html,"Wed, 03 Apr 2019 11:07:39 +0200",Zeugen melden Massenschlägerei in Berlin,Die Berliner Polizei ist zu einer Massenschlägerei unter Jugendlichen im Ortsteil Steglitz gerufen worden. Zuletzt war es vor zwei Wochen zu einer Massenschlägerei auf dem Alexanderplatz gekommen. (Archivbild) Im Berliner Ortsteil Steglitz soll eine Massenschlägerei zwischen 50 bis 100 Personen stattgefunden haben. Die Polizei ermittelt wegen des Verdachts auf schweren Landfriedensbruch.
https://www.faz.net/aktuell/rhein-main/valeria-schulz-ist-eine-jungballerina-aus-frankfurt-16121594.html,"Wed, 03 Apr 2019 14:15:00 +0200","Musikalität, Sprungkraft und Durchhaltevermögen: Jungballerina Valeria Schulze","Mit vier ins Ballett, mit zehn das erste Solo: Schon als Kind hatte Valeria Schulz viel Talent.Valeria Schulz studiert Tanz an der Hochschule für Musik und Darstellende Kunst. Von ihrem größten Traum hat sie sich verabschiedet. Dafür wartet eine andere, neue Erfahrung auf sie."
https://www.faz.net/aktuell/rhein-main/region-und-hessen/erste-obduktionsergebnisse-zum-flugzeugunglueck-in-suedhessen-16122540.html,"Wed, 03 Apr 2019 15:13:41 +0200",Flugzeugabsturz: Keine Hinweise auf Fremdeinwirkung,"Beamte der Kriminalpolizei und Luftfahrtexperten untersuchen die Unglücksmaschine. Nun liegen erste Obduktionsergebnisse vor.Offenbar gibt es keine Hinweise auf Fremdeinwirkungen an den drei Leichen, unter denen auch die russische Millionärin Natalija Filjowa ist. Und doch bleiben viele Fragen offen."
https://www.faz.net/aktuell/gesellschaft/kriminalitaet/schueler-in-flensburg-nach-amokdrohung-festgenommen-16122071.html,"Wed, 03 Apr 2019 12:52:35 +0200",Schüler nach Amokdrohung festgenommen,"Nach einer Amokdrohung ist an einer Flensburger Schule ein 17 Jahre alter Schüler festgenommen worden. (Symbolbild) Ein Schüler hatte in einem Chat gedroht, an diesem Mittwoch mehrere Menschen in einer Flensburger Schule zu töten. Als er zu Schulbeginn festgenommen wurde, hatte er mehrere Messer bei sich."
