link,published,title,detailed
https://www.sueddeutsche.de/wirtschaft/notre-dame-paris-brand-versicherung-1.4412032,"Wed, 17 Apr 2019 07:07:45 GMT",Brand in Notre-Dame: Warum keine Versicherung den ganzen Schaden zahlt,"Noch ist unklar, wie das Feuer in der Kathedrale ausbrach und wer dafür haftet. Klar ist aber: Die Versicherungssumme wird angesichts der Dimensionen in keinem Fall ausreichen."
https://www.sueddeutsche.de/wirtschaft/apple-qualcomm-streit-iphone-verkaufsverbot-1.4413203,"Wed, 17 Apr 2019 07:04:54 GMT",Apple und Qualcomm: Überraschende Einigung im Milliarden-Streit,Seit Jahren stritten Apple und der Chip-Hersteller Qualcomm um Patente. Zuletzt gab es sogar ein Verkaufsverbot für iPhones in Deutschland.
https://www.sueddeutsche.de/sport/messi-champions-league-united-barcelona-1.4413202,"Wed, 17 Apr 2019 06:50:11 GMT",Champions League: Messis große Spielshow,Lionel Messi agiert beim 3:0 des FC Barcelona gegen Manchester mal wieder auf einem eigenen Level. United muss den Klassenunterschied anerkennen - und auf einen Umbruch im Sommer hoffen. 
https://www.sueddeutsche.de/digital/russland-netzpolitik-internet-zensur-1.4411832,"Wed, 17 Apr 2019 05:42:04 GMT","Interview am Morgen: Internet-Zensur in Russland: ""Telegram wird alles tun, um für russische Nutzer verfügbar zu bleiben""","Russland will sich vom globalen Internet abkoppeln. Sarkis Darbinjan von der NGO RosKomSvoboda erklärt, warum das Vorhaben nicht wie gewünscht funktionieren wird und was er mit ""IP-Genozid"" meint. "
https://www.sueddeutsche.de/politik/nachrichten-notre-dame-bahnkosten-champions-league-1.4413192,"Wed, 17 Apr 2019 05:30:27 GMT",SZ Espresso: Nachrichten am Morgen - die Übersicht für Eilige,Was heute wichtig ist und wird. 
https://www.sueddeutsche.de/politik/zehn-tipps-diskussionen-1.4397534,"Wed, 17 Apr 2019 05:22:36 GMT",Besser diskutieren: Zehn Tipps für schwierige Gespräche,"Souverän und gelassen diskutieren statt Türen knallen? Diese Strategien helfen Ihnen, auf Vorurteile zu reagieren und besser zu streiten."
https://www.sueddeutsche.de/bayern/stromschlag-osterhofen-jugendlicher-1.4413193,"Wed, 17 Apr 2019 04:59:24 GMT",Niederbayern: Jugendlicher stirbt durch Stromschlag,"Der 16-Jährige war im Bahnhof Osterhofen auf einen abgestellten Güterzug geklettert, als sich an einer elektrischen Oberleitung ein Lichtbogen bildete und ihn sofort tötete."
https://www.sueddeutsche.de/muenchen/wolfratshausen/isar-bootfahren-alkohol-limit-1.4412699,"Wed, 17 Apr 2019 04:48:45 GMT",Bad Tölz-Wolfratshausen: Künftig gibt es ein Alkohol-Limit auf der Isar,"Auf dem Wasser gilt von Freitag an eine 0,5-Promille-Grenze. Beiboote für Bierkästen sind fortan ganz verboten."
https://www.sueddeutsche.de/karriere/dschungelcamp-beamte-lehrerin-1.4410539,"Wed, 17 Apr 2019 03:42:44 GMT","Arbeitsrecht: Was passieren muss, damit Beamte rausfliegen","Beamte können nicht einfach entlassen werden, dafür ist zuweilen ein Disziplinarverfahren nötig - so wie bei der Lehrerin, die unbedingt ins RTL-Dschungelcamp wollte."
https://www.sueddeutsche.de/politik/sterbehilfe-bundesverfassungsgericht-verbot-tod-1.4412138,"Wed, 17 Apr 2019 02:55:59 GMT",Sterbehilfe: Selbstbestimmt zur Erlösung,"Schwer kranke Menschen, Sterbehilfevereine und Ärzte gehen vor dem Verfassungsgericht gegen das Verbot geschäftsmäßiger Hilfe zum Tod vor. Gerichtspräsident Voßkuhle dämpft zu Beginn die Erwartungen."
https://www.sueddeutsche.de/politik/trump-kongress-jemen-resolution-usa-1.4413188,"Wed, 17 Apr 2019 02:16:20 GMT",Unterstützung Saudi-Arabiens: Kongress will US-Militärhilfe im Jemen beenden - Trump legt Veto ein,Gegen den Willen von Teilen seiner Partei hält der Präsident damit die Beteiligung der USA im Jemen-Krieg aufrecht. 
https://www.sueddeutsche.de/sport/messi-barcelona-united-manchester-champions-leaue-1.4413185,"Tue, 16 Apr 2019 21:52:44 GMT","3:0-Sieg: Messi glänzt, de Gea patzt",Gegen ein überfordertes Manchester United zieht der FC Barcelona locker ins Halbfinale der Champions League ein. Mann des Abends ist Lionel Messi - allerdings auch mit Hilfe des Torwarts.
https://www.sueddeutsche.de/sport/ajax-amsterdam-turin-champions-league-ronaldo-1.4413182,"Tue, 16 Apr 2019 21:29:47 GMT",Ajax besiegt Juventus: Mit der Kraft des schönen Fußballs,"Kunstvoll, elegant und kreativ zieht Ajax Amsterdam ins Halbfinale der Champions League ein. Cristiano Ronaldo trifft zwar zur Führung - ist aber am Ende machtlos."
https://www.sueddeutsche.de/sport/ajax-schockt-juventus-turin-in-aller-schoenheit-1.4413018,"Tue, 16 Apr 2019 21:27:59 GMT",Ajax schockt Juventus Turin: In aller Schönheit,Ajax Amsterdam räumt den nächsten Favoriten aus dem Weg: Beim 2:1-Erfolg in Turin bringt die Gäste weder der Rückstand noch das Gegockel von Ronaldo aus der Fassung.
https://www.sueddeutsche.de/sport/eishockey-minuten-spaeter-1.4413021,"Tue, 16 Apr 2019 21:27:55 GMT",Eishockey: 504 Minuten später,In der bisher längsten Playoff-Serie der DEL-Geschichte setzt sich München im siebten Spiel gegen Ausgsburg durch.  Der Titelverteidiger muss schon am Donnerstag in der Finalserie in Mannheim antreten.
