link,published,title,detailed
https://www.sueddeutsche.de/sport/hannover-heldt-trennung-1.4402820,"Tue, 09 Apr 2019 11:56:31 GMT","Entlassung von Horst Heldt: ""Hannover 96 benötigt einen Neuanfang""","Der abstiegsbedrohte Klub reagiert: Hannover wirft Manager Heldt raus - Vereinsboss Kind hält ihm vor, die Mannschaft schlecht zusammengestellt zu haben. "
https://www.sueddeutsche.de/sport/draisaitl-eishockey-nhl-1.4401122,"Tue, 09 Apr 2019 11:51:48 GMT",NHL: Draisaitl gehört nun zum höchsten Eishockey-Adel,Das gab's noch nie: Nationalstürmer Leon Draisaitl schießt in der NHL so viele Tore wie kein Deutscher vor ihm - trotzdem ärgert sich sein Klub vor den Playoffs.
https://www.sueddeutsche.de/politik/tuerkei-istanbul-wahl-1.4402944,"Tue, 09 Apr 2019 11:48:05 GMT",Bürgermeisterwahl: AKP will Wahlwiederholung in Istanbul,"Die Regierungspartei hatte zunächst eine vollständige Neuauszählung der Stimmen gefordert, was die Wahlbehörde ablehnte. Erdoğans Partei will nicht aufgeben. "
https://www.sueddeutsche.de/digital/passwort-it-sicherheit-gesetz-seehofer-beugehaft-gefaengnis-1.4401627,"Tue, 09 Apr 2019 11:44:32 GMT",Geplantes IT-Sicherheitsgesetz: Passwort oder Beugehaft,"Polizisten sollen laut einem Gesetzentwurf von Innenminister Seehofer im Netz die Konten Verdächtiger übernehmen dürfen. Wer sein Passwort nicht verrät, dem würden dann harte Sanktionen drohen.
"
https://www.sueddeutsche.de/sport/fussball-medien-metzelder-in-gespraechen-mit-leipzig-1.4402823,"Tue, 09 Apr 2019 11:36:06 GMT",Fußball: Medien: Metzelder in Gesprächen mit Leipzig,"Der ehemalige Nationalspieler könnte ""Leiter Sport"" werden. Der FC Chelsea rückt in England auf Platz drei und die Virginia Cavaliers sind Meister im US-College-Basketball."
https://www.sueddeutsche.de/muenchen/starnberg/starnberg-gasthof-au-biergarten-1.4401195,"Tue, 09 Apr 2019 11:21:07 GMT",Gastronomie: Bangen um den letzten Biergarten in Starnberg,"Das Wirtspaar des Gasthofs in der Au kündigt seinem Miteigentümer, mit dem die Eheleute eine Gesellschaft gegründet hatten. Ein Stadtrat will das Lokal retten."
https://www.sueddeutsche.de/politik/brexit-gipfel-may-barnier-leadsom-1.4402776,"Tue, 09 Apr 2019 11:17:00 GMT",Brexit: May sucht Unterstützer für Fristverlängerung,Die britische Premierministerin wirbt am Tag vor dem EU-Sondergipfel erst bei der Kanzlerin und dann beim französischen Präsidenten für einen Brexit-Aufschub. Auch in London wird weiter um Kompromisse gerungen. Mays Parlamentsbeauftragte macht einen unbeliebten Vorschlag. 
https://www.sueddeutsche.de/muenchen/fluechtlinge-gueterzug-brenner-1.4402855,"Tue, 09 Apr 2019 11:06:31 GMT",Laim: Sieben Flüchtlinge verstecken sich auf Güterzug,"Am Güterbahnhof München-Laim greift die Polizei eine Gruppe Nigerianer auf, die auf einem Zug über den Brenner gefahren sind. Unter ihnen sind auch drei Kinder."
https://www.sueddeutsche.de/panorama/fahrrad-infrastruktur-ranking-hof-1.4402631,"Tue, 09 Apr 2019 11:04:14 GMT","Fahrradfreundlichkeit: ""Da ist Nachholbedarf da""","Der Fahrradclub ADFC hat Fahrradfahrer in 700 Städten befragt, wie zufrieden sie mit der Situation in ihren Städten sind. Ein Anruf bei Harald Fichtner - dem Bürgermeister der Stadt, die am schlechtesten abgeschnitten hat: das bayerische Hof."
https://www.sueddeutsche.de/auto/fahrradklima-index-umfrage-adfc-1.4401790,"Tue, 09 Apr 2019 11:02:23 GMT",Fahrradklima-Index des ADFC: Radler geben deutschen Städten schlechte Noten,"Angesichts mangelhafter Infrastruktur fühlen sich Fahrradfahrer zunehmend unsicher. Bremen schnitt bei großen Städten am besten ab, Münster ist seine Spitzenstellung bei den kleineren los. "
