link,published,title,detailed
https://www.faz.net/aktuell/politik/inland/wahlreform-verkleinerung-des-bundestags-vorerst-gescheitert-16122607.html,"Wed, 03 Apr 2019 15:36:27 +0200",Wahlreform: Verkleinerung des Bundestags vorerst gescheitert,"Besucher in der Kuppel des Reichstagsgebäudes in BerlinUm die Zahl der Parlamentsabgeordneten wieder zu reduzieren, wurde seit Monaten um eine Reform des Wahlrechts gelungen. Jetzt rückt sie in weite Ferne."
https://www.faz.net/aktuell/gesellschaft/kriminalitaet/graeber-ermordeter-polizisten-in-berlin-geschaendet-16122730.html,"Wed, 03 Apr 2019 16:27:30 +0200",Gräber ermordeter Polizisten in Berlin geschändet,"Ein mit Folie abgedeckter Grabstein steht auf dem Parkfriedhof Neukölln.Zwei Grabstätten von im Dienst getöteten Polizisten sind in Berlin mit Hakenkreuzen beschmiert worden. Einer der Polizisten war 2003 erschossen worden, als er einen Verdächtigen aus einer Clan-Familie festnehmen wollte."
http://blogs.faz.net/einspruch/2019/04/03/sondervorteil-gefahrenabwehr-1841/,"Wed, 03 Apr 2019 15:25:36 +0200","Blogs | F.A.Z. Einspruch Podcast: ""Sondervorteil"" Gefahrenabwehr",59106930Die DFL muss die Kosten von Polizeieinsätzen bei Bremer Hochrisikospielen tragen. Dabei ist Gefahrenabwehr ureigene Aufgabe des Staates - und eigentlich schon aus Steuermitteln finanziert.
https://www.faz.net/aktuell/brexit/brexit-gespraeche-may-hofft-auf-schulterschluss-mit-corbyn-16122467.html,"Wed, 03 Apr 2019 15:31:58 +0200",Brexit-Gespräche: May hofft auf Schulterschluss mit Corbyn,Theresa May bei ihrer Ankündigung zur Zusammenarbeit mit der OppositionVor ihrem Treffen mit Labour-Chef Corbyn verbreitet May im Unterhaus Optimismus. EU-Kommissionspräsident Juncker plädiert für einen Aufschub des Brexits bis zum 22. Mai – verweist aber auch auf die roten Linien Brüssels.
https://www.faz.net/aktuell/politik/der-streit-um-das-urheberrecht-und-der-kampfbegriff-zensur-16116729.html,"Wed, 03 Apr 2019 15:12:19 +0200",Kommentar: Die Legende von der Zerstörung des Internets,"Demonstration unter dem Motto „Rette Dein Internet“ in Stuttgart im MärzMan hätte die Debatte über die Urheberrechtsreform an sich vorbeiziehen lassen können, wenn sie nicht so gefährlich für unsere Demokratie wäre. Selbst vernünftige Menschen biedern sich antidemokratischen Wutbürgern an."
https://www.faz.net/aktuell/politik/inland/staatsanwaltschaft-ermittelt-gegen-zentrum-fuer-politische-schoenheit-16122386.html,"Wed, 03 Apr 2019 15:37:31 +0200",Staatsanwaltschaft ermittelt gegen Zentrum für politische Schönheit,Mitglieder des Künstlerkollektivs ZPS stehen im November 2017 in dem Nachbau des Berliner Holocaust-Mahnmals – in Sichtweite des Grundstücks von AfD-Politiker Höcke.Der Vorwurf der Staatsanwaltschaft gegen die Aktionskünstler lautet: „Bildung einer kriminellen Vereinigung“. Das Verfahren wurde eine Woche nach der Mahnmalaktion vor dem Haus des AfD-Politikers Björn Höcke aufgenommen.
https://www.faz.net/aktuell/brexit/brexit-liveblog-kommt-der-eu-austritt-am-22-mai-16110669.html,"Wed, 03 Apr 2019 14:39:13 +0200",Brexit-Liveblog: Kommt der EU-Austritt am 22. Mai?,Will die EU am 22. Mai verlassen: Theresa May++ May und Labour-ChefCorbyn beraten über gemeinsame Lösung ++ Brexit-Hardliner der Konservativen Partei kritisieren Mays Kurswechsel ++ Röttgen dringt auf langfristigen Aufschub des Brexits ++ Die jüngsten Entwicklungen im Liveblog ++
https://www.faz.net/aktuell/politik/ausland/regierungseinfluss-auf-richter-eu-leitet-neues-vertragsverletzungsverfahren-gegen-polen-ein-16122381.html,"Wed, 03 Apr 2019 12:49:24 +0200",Regierungseinfluss auf Richter: EU leitet neues Vertragsverletzungsverfahren gegen Polen ein,"Vize-Kommissionspräsident Frans Timmermans am Mittwoch in BrüsselDie EU-Kommission leitet wegen der umstrittenen Justizreformen in Polen ein weiteres Vertragsverletzungsverfahren gegen das Land ein. Richter würden systematisch der politischen Kontrolle unterworfen, kritisiert Kommissionsvize Timmermans."
https://www.faz.net/aktuell/politik/inland/debatte-zur-europawahl-wissen-nur-die-populisten-was-sie-wollen-16122267.html,"Wed, 03 Apr 2019 12:36:51 +0200","Debatte zur Europawahl: Wissen nur die Populisten, was sie wollen?","Der Vorsitzende der Konrad-Adenauer-Stiftung und frühere Bundestagspräsident Norbert LammertHunderte Bürger diskutierten auf einer Veranstaltung der F.A.Z. und der Adenauer-Stiftung in Mainz mit Fachleuten, ob Europa dem „Angriff der Populisten“ standhält. Am Ende sind sie weniger alarmiert als vorher."
